"","交易筆棟數_土地","交易筆棟數_建物","交易筆棟數_車位","移轉層次","總樓層數","建物型態","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","成交時屋齡","單價.元.坪","土地移轉總面積.坪","建物移轉總面積.坪","交易標的橫坐標","交易標的縱坐標","Longitude","Latitude"
"1",1.38690476190476,1.09325396825397,0.391865079365079,4.41369047619048,8.05753968253968,2.73214285714286,2.68154761904762,1.6468253968254,1.57142857142857,0.971230158730159,0.481150793650794,18.515873015873,374168.257238095,9.63605195535714,35.6485283761905,304786.846230159,2772568.80059524,121.543015376984,25.0602298511904
"2",1.55952380952381,1.0952380952381,0.630952380952381,3.94047619047619,8.34523809523809,3.46428571428571,2.45238095238095,1.52380952380952,1.94047619047619,0.857142857142857,0.571428571428571,14.8214285714286,1394476.22982143,24.5617730357143,57.5863757976191,304504.964285714,2771528.25,121.540192857143,25.0508504761905
"3",1.42579075425791,1.04622871046229,0.508515815085158,4.75669099756691,9.2360097323601,2.8661800486618,2.54257907542579,1.60827250608272,1.81265206812652,0.965936739659367,0.608272506082725,12.9294403892944,819095.630523114,10.9948905953285,43.6503551119221,305334.510948905,2771422.29440389,121.54840729927,25.0498634793187
"4",1.52862595419847,1.0324427480916,0.175572519083969,3.42748091603053,5.8530534351145,2.41030534351145,2.58015267175573,1.5381679389313,1.43511450381679,0.967557251908397,0.311068702290076,22.4351145038168,266406.226757634,9.14269202385495,30.2160808673664,304130.889312977,2772709.01908397,121.536519083969,25.0615196374046
"5",1.38276990185387,1.07197382769902,0.486368593238822,4.61068702290076,8.19629225736096,2.84187568157034,2.69138495092694,1.69029443838604,1.64449291166848,0.972737186477645,0.548527808069793,15.6913849509269,521842.984223555,9.48555904351145,38.2356630861505,305995.364231189,2772434.27153762,121.554996292257,25.0589733587786
"6",1.32608695652174,1.06521739130435,0.519181585677749,4.78772378516624,8.48209718670077,2.93734015345269,2.76598465473146,1.67007672634271,1.72634271099744,0.964194373401535,0.546035805626598,14.5511508951407,576958.204225064,9.0348142006394,40.4629140204604,306228.143222506,2772857.84526854,121.557319565217,25.0627885549872
"7",1.375,1.06666666666667,0.645,5.16166666666667,9.82666666666667,3.08833333333333,2.515,1.65833333333333,1.66833333333333,0.95,0.576666666666667,13.8183333333333,656811.201116667,9.297779658,44.9583264166667,305829.67,2772362.23833333,121.553349833333,25.05832955
"8",1.75,1.25,1.08333333333333,1.66666666666667,7,4,1.41666666666667,1,1,0.583333333333333,0.416666666666667,23.5833333333333,2849182.92008333,46.0536591166667,91.2018256666667,305056.75,2772196.41666667,121.545683333333,25.0568616666667
"9",1.30952380952381,1.16666666666667,0.785714285714286,4.33333333333333,9.11904761904762,3.78571428571429,1.97619047619048,1.14285714285714,1.38095238095238,0.666666666666667,0.595238095238095,12.0238095238095,1814047.93380952,25.6659288571429,64.5625709523809,305099.619047619,2771180.14285714,121.546066666667,25.0476864285714
"10",1.27638190954774,1.09045226130653,0.577889447236181,4.97989949748744,8.63819095477387,2.74874371859296,2.25628140703518,1.39195979899497,1.61809045226131,0.919597989949749,0.613065326633166,11.2361809045226,1069137.32296482,9.55906326130653,43.017480678392,304807.537688442,2770383.51256281,121.543138190955,25.040505477387
"11",1.3811833171678,1.04849660523763,0.322017458777886,4.33947623666343,7.59359844810863,2.66634335596508,2.64791464597478,1.6721629485936,1.58389912706111,0.97090203685742,0.49078564500485,18.4995150339476,436692.624495635,9.16314733520853,33.5284592638215,305472.086323957,2771940.29485936,121.549787293889,25.0545322114452
"12",1.33596837944664,1.06060606060606,0.44532279314888,4.50856389986825,8.67193675889328,2.9433465085639,2.60210803689065,1.59947299077734,1.56916996047431,0.952569169960474,0.552042160737813,14.3873517786561,603722.645080369,8.77304646403161,38.6824937125165,306278.362318841,2772685.20816864,121.55781198946,25.0612285638999
"13",1.38878504672897,1.04485981308411,0.523364485981308,5.17570093457944,9.31028037383177,3.01869158878505,2.62429906542056,1.6785046728972,1.64299065420561,0.947663551401869,0.598130841121495,13.9084112149533,682593.768437383,9.23442968598131,41.897819988785,305727.252336449,2772483.55140187,121.552340373832,25.0594288971963
"14",1.5301775147929,1.0603550295858,0.315976331360947,4.12544378698225,7.1207100591716,2.62366863905325,2.65680473372781,1.62721893491124,1.56213017751479,0.959763313609467,0.423668639053254,19.9514792899408,340638.274734911,10.2721591586982,33.7635163408284,304836.840236686,2772105.28757396,121.543493491124,25.0560432071006
"15",1.416,1.048,0.544,4.176,8.496,3.168,2.088,1.336,1.512,0.84,0.6,14.248,1192282.023136,14.4733011144,44.750268752,305167.344,2771406.216,121.5467448,25.04972456
"16",1.53315649867374,1.05835543766578,0.116710875331565,3.22281167108753,5.86737400530504,2.40053050397878,2.75331564986737,1.50663129973475,1.55968169761273,0.957559681697613,0.26790450928382,24,216450.358413793,10.6300990267904,30.2821357931034,304007.24403183,2773496.15119363,121.535327851459,25.0686314588859
"17",1.42397660818713,1.08771929824561,0.337231968810916,4.44444444444444,7.80799220272904,2.69005847953216,2.68323586744639,1.6588693957115,1.58674463937622,0.974658869395711,0.451267056530214,18.7387914230019,406348.844106238,9.26182129617834,34.363509154191,305241.539961014,2772055.5380117,121.547506822612,25.0555803703704
"18",1.3687374749499,1.07715430861723,0.440881763527054,4.30060120240481,7.8877755511022,2.76953907815631,2.66633266533066,1.69238476953908,1.62324649298597,0.970941883767535,0.534068136272545,16.2134268537074,494481.6641503,9.16484181573146,36.5851522885772,306160.889779559,2772354.46092184,121.556631262525,25.0582464729459
"19",1.34929906542056,1.07710280373832,0.495327102803738,4.78504672897196,8.46845794392523,2.93691588785047,2.59228971962617,1.63200934579439,1.60747663551402,0.955607476635514,0.575934579439252,14.9439252336449,549876.222299066,9.08953981483644,39.0709643936916,306048.492990654,2772430.51869159,121.555522780374,25.0589375116823
"20",1.3410740203193,1.04644412191582,0.53410740203193,4.72859216255443,8.89840348330914,3.01161103047896,2.60957910014514,1.66182873730044,1.63570391872279,0.950653120464441,0.577648766328012,13.6313497822932,631034.950629898,8.8944346788389,41.0837098969521,306225.65892598,2772272.96226415,121.557274020319,25.0575093613934
"21",1.48441247002398,1.07434052757794,0.616306954436451,5.21342925659472,9.5083932853717,2.97362110311751,2.57553956834532,1.5947242206235,1.80335731414868,0.94484412470024,0.62589928057554,11.589928057554,864917.319697842,9.52085815539568,46.3258023549161,304996.522781775,2771412.01918465,121.545058273381,25.0497830215827
"22",1.48459383753501,1.06442577030812,0.585434173669468,4.81232492997199,9.15966386554622,2.93837535014006,2.58823529411765,1.66386554621849,1.76750700280112,0.966386554621849,0.644257703081233,12.5602240896359,923584.452647058,9.68546414677871,45.6095922913165,304991.268907563,2770922.83753501,121.544982352941,25.0453675070028
"23",1.32763819095477,1.06030150753769,0.366834170854271,4.31155778894472,7.70753768844221,2.75276381909548,2.68643216080402,1.6713567839196,1.63015075376884,0.968844221105528,0.498492462311558,17.4150753768844,465432.15582814,9.4720105715578,35.2767406281407,305543.079396985,2772223.65125628,121.55050241206,25.057087959799
"24",1.58892128279883,1.05685131195335,0.291545189504373,3.69679300291545,6.61661807580175,2.56851311953353,2.51603498542274,1.53790087463557,1.46355685131195,0.928571428571429,0.409620991253644,20.6836734693878,306230.754412536,9.97758232711369,33.1902782975218,304509.613702624,2772268.89795918,121.540256851312,25.0575320553936
"25",1.48598130841122,1.18691588785047,0.523364485981308,2.75700934579439,9.31775700934579,2.92523364485981,2.02803738317757,1.24299065420561,1.14953271028037,0.813084112149533,0.457943925233645,18.7102803738318,54453.5722616823,9.29920425460748,35.2463503558224,303481.074766355,2773964.96261682,121.530125233645,25.0728813084112
"26",1.23949579831933,1.07563025210084,0.689075630252101,4.47058823529412,8.70168067226891,2.97058823529412,2.6218487394958,1.53361344537815,2.02100840336134,0.915966386554622,0.638655462184874,11.6890756302521,989135.051084034,13.4923547506681,53.6275049579832,305008.382352941,2771000.00840336,121.545154201681,25.0460635714286
"27",1.38475836431227,1.06505576208178,0.37360594795539,4.54646840148699,8.28996282527881,2.95724907063197,2.81226765799257,1.63568773234201,1.64498141263941,0.962825278810409,0.485130111524164,16.7695167286245,158386.764576208,10.0881889694981,41.9041703382899,303799.933085502,2771257.42750929,121.533191078067,25.0484281040892
"28",1.34325396825397,1.04761904761905,0.488095238095238,5.15674603174603,9.34523809523809,3.00793650793651,2.64087301587302,1.59722222222222,1.68650793650794,0.952380952380952,0.583333333333333,14.8849206349206,744606.880513888,9.87962942003967,41.9207652361111,305499.712301587,2772076.41666667,121.550070833333,25.0557618253968
"29",1.3880266075388,1.04212860310421,0.478935698447894,5.01108647450111,9.24611973392461,2.92461197339246,2.52106430155211,1.6119733924612,1.66075388026608,0.951219512195122,0.594235033259424,12.6541019955654,780662.62302439,8.39508837405766,41.052002691796,305139.569844789,2771748.05099778,121.54648691796,25.0528111973392
"30",1.33145009416196,1.04708097928437,0.508474576271186,5.17702448210923,9.70244821092279,2.98681732580038,2.67419962335217,1.64971751412429,1.69679849340866,0.954802259887006,0.566854990583804,13.7909604519774,711023.542047081,9.35780966478343,43.5564828305085,305740.813559322,2772042.30131827,121.552456308851,25.0554448964219
